Instances,Source,feature_n,feature_Mean,feature_Median,feature_Var,feature_Max,feature_Min,feature_Huge,feature_Large,feature_Medium,feature_Small,feature_Tiny,algo_FFD,algo_DJD
Falkenauer_u1000_00,Falkenauer U,1000,0.398426667,0.393333333,0.024065169,0.666666667,0.133333333,0.302,0.303,0.174,0.221,0,4.5733333,1.5733333
Falkenauer_u1000_01,Falkenauer U,1000,0.405253333,0.406666667,0.024015691,0.666666667,0.133333333,0.323,0.315,0.157,0.205,0,5.7466667,1.7466667
Falkenauer_u1000_02,Falkenauer U,1000,0.4102,0.41,0.023980849,0.666666667,0.133333333,0.328,0.318,0.158,0.196,0,5.8,1.8
Falkenauer_u1000_03,Falkenauer U,1000,0.410866667,0.413333333,0.023654893,0.666666667,0.133333333,0.328,0.306,0.176,0.19,0,5.1333333,3.1333333
Falkenauer_u1000_04,Falkenauer U,1000,0.39674,0.393333333,0.023538928,0.666666667,0.133333333,0.291,0.316,0.171,0.222,0,5.26,3.26
Falkenauer_u1000_05,Falkenauer U,1000,0.398493333,0.403333333,0.024331686,0.666666667,0.133333333,0.306,0.302,0.171,0.221,0,5.5066667,1.5066667
Falkenauer_u1000_06,Falkenauer U,1000,0.394206667,0.4,0.024730748,0.666666667,0.133333333,0.287,0.326,0.144,0.243,0,4.7933333,1.7933333
Falkenauer_u1000_07,Falkenauer U,1000,0.40316,0.406666667,0.023729926,0.666666667,0.133333333,0.305,0.324,0.159,0.212,0,4.84,1.84
Falkenauer_u1000_08,Falkenauer U,1000,0.398433333,0.406666667,0.02471919,0.666666667,0.133333333,0.309,0.303,0.154,0.234,0,5.5666667,1.5666667
Falkenauer_u1000_09,Falkenauer U,1000,0.396926667,0.386666667,0.025298599,0.666666667,0.133333333,0.321,0.279,0.165,0.235,0,7.0733333,1.0733333
Falkenauer_u1000_10,Falkenauer U,1000,0.39934,0.4,0.024772587,0.666666667,0.133333333,0.316,0.31,0.143,0.231,0,4.66,0.66
Falkenauer_u1000_11,Falkenauer U,1000,0.40052,0.4,0.023717152,0.666666667,0.133333333,0.289,0.331,0.167,0.213,0,4.48,2.48
Falkenauer_u1000_12,Falkenauer U,1000,0.39224,0.386666667,0.024833116,0.666666667,0.133333333,0.295,0.305,0.156,0.244,0,5.76,1.76
Falkenauer_u1000_13,Falkenauer U,1000,0.395273333,0.393333333,0.023281881,0.666666667,0.133333333,0.29,0.325,0.176,0.209,0,5.7266667,1.7266667
Falkenauer_u1000_14,Falkenauer U,1000,0.393886667,0.393333333,0.023304272,0.666666667,0.133333333,0.272,0.327,0.176,0.225,0,6.1133333,2.1133333
Falkenauer_u1000_15,Falkenauer U,1000,0.401806667,0.403333333,0.024173492,0.666666667,0.133333333,0.322,0.297,0.168,0.213,0,6.1933333,2.1933333
Falkenauer_u1000_16,Falkenauer U,1000,0.403026667,0.413333333,0.024199728,0.666666667,0.133333333,0.325,0.304,0.149,0.222,0,3.9733333,0.9733333
Falkenauer_u1000_17,Falkenauer U,1000,0.4038,0.413333333,0.025160227,0.666666667,0.133333333,0.323,0.306,0.139,0.232,0,5.2,1.2
Falkenauer_u1000_18,Falkenauer U,1000,0.398193333,0.393333333,0.024469669,0.666666667,0.133333333,0.313,0.295,0.165,0.227,0,4.8066667,1.8066667
Falkenauer_u1000_19,Falkenauer U,1000,0.399333333,0.4,0.024048711,0.666666667,0.133333333,0.315,0.308,0.144,0.233,0,6.6666667,0.6666667
Falkenauer_u120_00,Falkenauer U,120,0.393222222,0.386666667,0.021660728,0.653333333,0.133333333,0.3,0.266666667,0.233333333,0.2,0,1.81333333,1.81333333
Falkenauer_u120_01,Falkenauer U,120,0.400277778,0.39,0.02387659,0.666666667,0.133333333,0.283333333,0.333333333,0.191666667,0.191666667,0,0.96666667,1.96666667
Falkenauer_u120_02,Falkenauer U,120,0.377444444,0.386666667,0.023537914,0.666666667,0.133333333,0.258333333,0.283333333,0.166666667,0.291666667,0,1.70666667,0.70666667
Falkenauer_u120_03,Falkenauer U,120,0.404722222,0.4,0.025698071,0.666666667,0.133333333,0.333333333,0.266666667,0.166666667,0.233333333,0,1.43333333,1.43333333
Falkenauer_u120_04,Falkenauer U,120,0.408555556,0.443333333,0.024562358,0.66,0.133333333,0.316666667,0.325,0.15,0.208333333,0,0.97333333,0.97333333
Falkenauer_u120_05,Falkenauer U,120,0.395666667,0.373333333,0.025027148,0.666666667,0.133333333,0.333333333,0.258333333,0.175,0.233333333,0,1.52,1.52
Falkenauer_u120_06,Falkenauer U,120,0.3965,0.373333333,0.023845898,0.666666667,0.133333333,0.3,0.308333333,0.175,0.216666667,0,1.42,0.42
Falkenauer_u120_07,Falkenauer U,120,0.405277778,0.403333333,0.020091034,0.666666667,0.133333333,0.258333333,0.4,0.175,0.166666667,0,1.36666667,2.36666667
Falkenauer_u120_08,Falkenauer U,120,0.415444444,0.41,0.024462951,0.666666667,0.133333333,0.333333333,0.333333333,0.141666667,0.191666667,0,1.14666667,1.14666667
Falkenauer_u120_09,Falkenauer U,120,0.381666667,0.39,0.025380185,0.666666667,0.133333333,0.266666667,0.316666667,0.158333333,0.258333333,0,1.2,1.2
Falkenauer_u120_10,Falkenauer U,120,0.426666667,0.423333333,0.023448148,0.666666667,0.133333333,0.383333333,0.316666667,0.141666667,0.158333333,0,0.8,1.8
Falkenauer_u120_11,Falkenauer U,120,0.402611111,0.406666667,0.025061701,0.666666667,0.14,0.35,0.291666667,0.116666667,0.241666667,0,1.68666667,1.68666667
Falkenauer_u120_12,Falkenauer U,120,0.398888889,0.406666667,0.01913358,0.66,0.133333333,0.3,0.358333333,0.141666667,0.2,0,1.13333333,1.13333333
Falkenauer_u120_13,Falkenauer U,120,0.400111111,0.396666667,0.025507395,0.666666667,0.133333333,0.316666667,0.316666667,0.158333333,0.208333333,0,0.98666667,0.98666667
Falkenauer_u120_14,Falkenauer U,120,0.409611111,0.426666667,0.023097627,0.666666667,0.14,0.3,0.325,0.191666667,0.183333333,0,0.84666667,0.84666667
Falkenauer_u120_15,Falkenauer U,120,0.394555556,0.393333333,0.027190358,0.666666667,0.133333333,0.316666667,0.258333333,0.175,0.25,0,1.65333333,1.65333333
Falkenauer_u120_16,Falkenauer U,120,0.427111111,0.43,0.023551654,0.666666667,0.14,0.358333333,0.325,0.15,0.166666667,0,0.74666667,1.74666667
Falkenauer_u120_17,Falkenauer U,120,0.427944444,0.423333333,0.02044096,0.666666667,0.146666667,0.375,0.341666667,0.15,0.133333333,0,1.64666667,1.64666667
Falkenauer_u120_18,Falkenauer U,120,0.403055556,0.4,0.022855478,0.666666667,0.14,0.266666667,0.366666667,0.166666667,0.2,0,1.63333333,1.63333333
Falkenauer_u120_19,Falkenauer U,120,0.406777778,0.396666667,0.026133321,0.666666667,0.14,0.325,0.266666667,0.2,0.208333333,0,1.18666667,1.18666667
Falkenauer_u250_00,Falkenauer U,250,0.394213333,0.386666667,0.023368648,0.666666667,0.133333333,0.288,0.296,0.212,0.204,0,1.44666667,3.44666667
Falkenauer_u250_01,Falkenauer U,250,0.396106667,0.403333333,0.025064309,0.666666667,0.133333333,0.316,0.268,0.156,0.26,0,1.97333333,1.97333333
Falkenauer_u250_02,Falkenauer U,250,0.40568,0.4,0.024365782,0.666666667,0.133333333,0.328,0.296,0.168,0.208,0,2.58,1.58
Falkenauer_u250_03,Falkenauer U,250,0.397706667,0.393333333,0.023385674,0.666666667,0.133333333,0.276,0.352,0.16,0.212,0,1.57333333,0.57333333
Falkenauer_u250_04,Falkenauer U,250,0.402453333,0.4,0.02277727,0.666666667,0.133333333,0.296,0.348,0.164,0.192,0,1.3866667,1.3866667
Falkenauer_u250_05,Falkenauer U,250,0.403306667,0.4,0.02384471,0.666666667,0.133333333,0.34,0.304,0.132,0.224,0,3.1733333,1.1733333
Falkenauer_u250_06,Falkenauer U,250,0.404106667,0.406666667,0.023689446,0.666666667,0.133333333,0.316,0.324,0.164,0.196,0,1.9733333,0.9733333
Falkenauer_u250_07,Falkenauer U,250,0.411146667,0.41,0.025703663,0.666666667,0.133333333,0.34,0.284,0.168,0.208,0,2.2133333,2.2133333
Falkenauer_u250_08,Falkenauer U,250,0.419653333,0.426666667,0.020488591,0.666666667,0.14,0.316,0.384,0.144,0.156,0,2.0866667,1.0866667
