Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_Density,feature_AvNdDgr,feature_PercLoCap,feature_PercHiCap,feature_ScAvNdCap,feature_ScPotNetExcess,feature_AVScPotNetExcess,feature_cvCap,feature_cvAvNdDg,feature_ScRngCap,feature_ScAvCap,feature_ScCapDens
AC_1024_1(C_1m),AC,0.056,0.015,0.01,0,1024,523776,0.5,511.5,0.5003,0.4997,511.5492,261251.0529,255.6273,0.57686,0,1.9998,1.0001,0.50005
AC_1024_2(C_1m),AC,0.061,0.016,0.016,0.012,1024,523776,0.5,511.5,0.4999,0.5001,511.9092,261459.6953,255.8314,0.57719,0,1.9984,1.0008,0.5004
AC_1024_3(C_1m),AC,0.047,0.014,0.014,0.004,1024,523776,0.5,511.5,0.49988,0.50012,511.3987,261564.8089,255.9343,0.57768,0,2.0004,0.9998,0.4999
AC_1024_4(C_1m),AC,0.064,0.013,0.014,0.003,1024,523776,0.5,511.5,0.49987,0.50013,511.9212,261499.7198,255.8706,0.5769,0,1.9984,1.0008,0.50041
AC_1024_5(C_1m),AC,0.076,0.018,0.015,0.008,1024,523776,0.5,511.5,0.49995,0.50005,511.3597,261126.6476,255.5055,0.57795,0,2.0005,0.99973,0.49986
AC_16384_1(C_1m),AC,23.387,3.733,3.11,0.359,16384,134209536,0.5,8191.5,0.50006,0.49994,8190.4765,67095334.6,4095.6742,0.57744,0,2.0002,0.99988,0.49994
AC_16384_2(C_1m),AC,29.727,4.465,4.191,4.857,16384,134209536,0.5,8191.5,0.50001,0.49999,8191.0239,67090913.19,4095.4043,0.5774,0,2.0001,0.99994,0.49997
AC_16384_3(C_1m),AC,28.343,3.216,2.789,0.068,16384,134209536,0.5,8191.5,0.50007,0.49993,8190.4245,67092920.44,4095.5268,0.5774,0,2.0003,0.99987,0.49993
AC_16384_4(C_1m),AC,26.022,3.715,2.877,0.033,16384,134209536,0.5,8191.5,0.50003,0.49997,8191.0936,67094009.34,4095.5933,0.57738,0,2.0001,0.99995,0.49998
AC_16384_5(C_1m),AC,29.086,4.323,4.48,5.632,16384,134209536,0.5,8191.5,0.50006,0.49994,8190.3551,67088253.45,4095.2419,0.57744,0,2.0003,0.99986,0.49993
AC_2048_1(C_1m),AC,0.369,0.062,0.061,0.042,2048,2096128,0.5,1023.5,0.50029,0.49971,1023.0264,1046379.596,511.427,0.5777,0,2.0009,0.99954,0.49977
AC_2048_2(C_1m),AC,0.271,0.049,0.056,0.023,2048,2096128,0.5,1023.5,0.50004,0.49996,1023.8183,1046731.457,511.599,0.57689,0,1.9994,1.0003,0.50016
AC_2048_3(C_1m),AC,0.135,0.048,0.044,0.001,2048,2096128,0.5,1023.5,0.5001,0.4999,1022.7474,1046728.222,511.5974,0.57788,0,2.0015,0.99926,0.49963
AC_2048_4(C_1m),AC,0.234,0.057,0.041,0.001,2048,2096128,0.5,1023.5,0.49996,0.50004,1023.2835,1047087.348,511.7729,0.57754,0,2.0004,0.99979,0.49989
AC_2048_5(C_1m),AC,0.259,0.06,0.061,0.05,2048,2096128,0.5,1023.5,0.5006,0.4994,1022.5785,1046562.119,511.5162,0.57824,0,2.0018,0.9991,0.49955
AC_32768_1(C_1m),AC,159.466,21.711,19.732,24.11,32768,536854528,0.5,16383.5,0.50006,0.49994,16382.1165,268417748.7,8191.9596,0.57738,0,2.0002,0.99992,0.49996
AC_32768_2(C_1m),AC,96.613,16.027,14.119,6.787,32768,536854528,0.5,16383.5,0.50006,0.49994,16381.4675,268404794.5,8191.5643,0.57743,0,2.0002,0.99988,0.49994
AC_32768_3(C_1m),AC,101.766,18.731,12.857,0.041,32768,536854528,0.5,16383.5,0.50006,0.49994,16381.0234,268396531.4,8191.3121,0.57744,0,2.0003,0.99985,0.49992
AC_32768_4(C_1m),AC,125.909,14.283,11.444,0.49,32768,536854528,0.5,16383.5,0.50004,0.49996,16381.9602,268405724.3,8191.5926,0.57739,0,2.0002,0.99991,0.49995
AC_32768_5(C_1m),AC,160.501,23.099,22.989,5.715,32768,536854528,0.5,16383.5,0.50005,0.49995,16381.6325,268411174.2,8191.759,0.57742,0,2.0002,0.99989,0.49994
AC_4096_1(C_1m),AC,1.258,0.309,0.161,0.003,4096,8386560,0.5,2047.5,0.50007,0.49993,2046.3347,4192142.89,1023.9724,0.57764,0,2.0011,0.99943,0.49972
AC_4096_2(C_1m),AC,0.858,0.228,0.179,0.019,4096,8386560,0.5,2047.5,0.50005,0.49995,2046.593,4190604.77,1023.5967,0.57739,0,2.0009,0.99956,0.49978
AC_4096_3(C_1m),AC,1.046,0.214,0.196,0.027,4096,8386560,0.5,2047.5,0.4999,0.5001,2047.8719,4190441.942,1023.5569,0.57715,0,1.9996,1.0002,0.50009
AC_4096_4(C_1m),AC,1.574,0.294,0.228,0.055,4096,8386560,0.5,2047.5,0.49991,0.50009,2047.1124,4189216.492,1023.2576,0.57735,0,2.0004,0.99981,0.49991
AC_4096_5(C_1m),AC,1.647,0.217,0.167,0.002,4096,8386560,0.5,2047.5,0.50005,0.49995,2047.1959,4190465.563,1023.5627,0.57747,0,2.0003,0.99985,0.49993
AC_8192_1(C_1m),AC,5.648,0.835,0.714,0.074,8192,33550336,0.5,4095.5,0.5,0.5,4094.9204,16771783.61,2047.8368,0.57745,0,2.0003,0.99986,0.49993
AC_8192_2(C_1m),AC,6.203,0.936,0.713,0.036,8192,33550336,0.5,4095.5,0.50006,0.49994,4094.8817,16775068.27,2048.2379,0.57753,0,2.0003,0.99985,0.49992
AC_8192_3(C_1m),AC,5.085,0.913,0.67,0.009,8192,33550336,0.5,4095.5,0.50005,0.49995,4094.8479,16768415.01,2047.4255,0.57748,0,2.0003,0.99984,0.49992
AC_8192_4(C_1m),AC,4.348,1.043,0.766,0.112,8192,33550336,0.5,4095.5,0.5001,0.4999,4094.468,16770835.29,2047.721,0.5775,0,2.0005,0.99975,0.49987
AC_8192_5(C_1m),AC,6.511,1.015,1.02,1.167,8192,33550336,0.5,4095.5,0.50014,0.49986,4094.7386,16769685.83,2047.5807,0.57747,0,2.0004,0.99981,0.49991
AC_1024_1(_10m),AC,0.031,0.01,0.01,0,1024,523776,0.5,511.5,0.50068,0.49932,510.8801,260851.8517,255.2366,0.57779,0,2.0024,0.99879,0.49939
AC_1024_2(_10m),AC,0.095,0.019,0.017,0.009,1024,523776,0.5,511.5,0.49955,0.50045,510.9866,260635.1938,255.0247,0.57755,0,2.002,0.999,0.4995
AC_1024_3(_10m),AC,0.079,0.017,0.02,0.008,1024,523776,0.5,511.5,0.49966,0.50034,511.578,261306.0885,255.6811,0.57707,0,1.9997,1.0002,0.50008
AC_1024_4(_10m),AC,0.1,0.017,0.015,0.009,1024,523776,0.5,511.5,0.49996,0.50004,511.9434,261437.7382,255.8099,0.57656,0,1.9983,1.0009,0.50043
AC_1024_5(_10m),AC,0.076,0.017,0.015,0.011,1024,523776,0.5,511.5,0.50007,0.49993,511.1371,260909.3059,255.2929,0.57757,0,2.0014,0.99929,0.49965
AC_16384_1(_10m),AC,29.014,3.743,3.717,1.063,16384,134209536,0.5,8191.5,0.50014,0.49986,8184.0071,67095995.2,4095.7145,0.57761,0,2.0018,0.99909,0.49954
AC_16384_2(_10m),AC,23.102,3.927,2.757,0.014,16384,134209536,0.5,8191.5,0.50015,0.49985,8184.9934,67094835.99,4095.6438,0.57753,0,2.0016,0.99921,0.4996
AC_16384_3(_10m),AC,30.61,4.086,3.646,1.736,16384,134209536,0.5,8191.5,0.50013,0.49987,8184.8303,67094487.7,4095.6225,0.57757,0,2.0016,0.99919,0.49959
AC_16384_4(_10m),AC,30.277,4.251,2.659,0.497,16384,134209536,0.5,8191.5,0.5001,0.4999,8184.5266,67097435.44,4095.8024,0.57758,0,2.0017,0.99915,0.49957
AC_16384_5(_10m),AC,21.983,3.98,2.686,0.015,16384,134209536,0.5,8191.5,0.50012,0.49988,8184.6666,67092290.05,4095.4883,0.57757,0,2.0017,0.99917,0.49958
AC_2048_1(_10m),AC,0.197,0.051,0.046,0.004,2048,2096128,0.5,1023.5,0.50005,0.49995,1022.9084,1047517.925,511.9833,0.57754,0,2.0011,0.99942,0.49971
AC_2048_2(_10m),AC,0.325,0.057,0.043,0.001,2048,2096128,0.5,1023.5,0.50023,0.49977,1021.8524,1046399.268,511.4366,0.57801,0,2.0032,0.99839,0.4992
AC_2048_3(_10m),AC,0.217,0.061,0.042,0.002,2048,2096128,0.5,1023.5,0.50006,0.49994,1022.7999,1046936.541,511.6992,0.57748,0,2.0014,0.99932,0.49966
AC_2048_4(_10m),AC,0.31,0.07,0.064,0.063,2048,2096128,0.5,1023.5,0.50035,0.49965,1022.142,1046406.525,511.4401,0.57781,0,2.0027,0.99867,0.49934
AC_2048_5(_10m),AC,0.282,0.078,0.077,0.038,2048,2096128,0.5,1023.5,0.50012,0.49988,1022.0617,1046850.301,511.657,0.5781,0,2.0028,0.99859,0.4993
AC_32768_1(_10m),AC,190.212,15.785,23.769,14.851,32768,536854528,0.5,16383.5,0.50012,0.49988,16370.0212,268393073.1,8191.2065,0.57757,0,2.0016,0.99918,0.49959
AC_32768_2(_10m),AC,121.67,18.709,19.267,27.213,32768,536854528,0.5,16383.5,0.50014,0.49986,16369.4396,268401486.2,8191.4633,0.57758,0,2.0017,0.99914,0.49957
AC_32768_3(_10m),AC,119.648,13.804,16.773,10.254,32768,536854528,0.5,16383.5,0.50017,0.49983,16368.878,268406151.2,8191.6057,0.57761,0,2.0018,0.99911,0.49955
AC_32768_4(_10m),AC,139.49,17.817,13.008,0.243,32768,536854528,0.5,16383.5,0.50014,0.49986,16368.7268,268409277.4,8191.7011,0.57762,0,2.0018,0.9991,0.49955
AC_32768_5(_10m),AC,398.399,20.327,19.411,35.368,32768,536854528,0.5,16383.5,0.50015,0.49985,16369.1147,268412573.5,8191.8017,0.57761,0,2.0018,0.99912,0.49956
AC_4096_1(_10m),AC,0.774,0.19,0.177,0.015,4096,8386560,0.5,2047.5,0.50021,0.49979,2046.1797,4189296.128,1023.277,0.57757,0,2.0013,0.99936,0.49968
AC_4096_2(_10m),AC,1.503,0.215,0.24,0.153,4096,8386560,0.5,2047.5,0.50018,0.49982,2045.505,4190093.629,1023.4718,0.5776,0,2.0019,0.99903,0.49951
AC_4096_3(_10m),AC,0.887,0.199,0.229,0.074,4096,8386560,0.5,2047.5,0.50016,0.49984,2045.5454,4192160.084,1023.9766,0.57771,0,2.0019,0.99905,0.49952
AC_4096_4(_10m),AC,0.556,0.171,0.158,0.002,4096,8386560,0.5,2047.5,0.50012,0.49988,2045.9062,4190098.771,1023.4731,0.57748,0,2.0016,0.99922,0.49961
AC_4096_5(_10m),AC,0.972,0.178,0.183,0.018,4096,8386560,0.5,2047.5,0.50003,0.49997,2045.73,4190548.717,1023.583,0.57767,0,2.0017,0.99914,0.49957
AC_8192_1(_10m),AC,7.765,0.962,0.995,1.408,8192,33550336,0.5,4095.5,0.5001,0.4999,4091.694,16768360.08,2047.4188,0.57762,0,2.0019,0.99907,0.49954
AC_8192_2(_10m),AC,5.592,1.077,0.936,0.697,8192,33550336,0.5,4095.5,0.50018,0.49982,4091.3991,16770595.5,2047.6918,0.5777,0,2.002,0.999,0.4995
AC_8192_3(_10m),AC,7.225,0.932,0.975,0.892,8192,33550336,0.5,4095.5,0.50017,0.49983,4091.9488,16770239.78,2047.6483,0.57767,0,2.0017,0.99913,0.49957
AC_8192_4(_10m),AC,7.776,1.121,1.181,0.93,8192,33550336,0.5,4095.5,0.50015,0.49985,4091.3891,16769162.86,2047.5168,0.57757,0,2.002,0.999,0.4995
AC_8192_5(_10m),AC,4.599,1.029,0.681,0.028,8192,33550336,0.5,4095.5,0.5002,0.4998,4091.5247,16770169.77,2047.6398,0.57762,0,2.0019,0.99903,0.49951
AC_1024_1(100k),AC,0.058,0.015,0.015,0.011,1024,523776,0.5,511.5,0.50002,0.49998,511.2965,261351.6494,255.7257,0.57784,0,2.0008,0.9996,0.4998
AC_1024_2(100k),AC,0.044,0.014,0.013,0.005,1024,523776,0.5,511.5,0.50012,0.49988,511.8595,261307.7584,255.6827,0.57674,0,1.9986,1.0007,0.50035
AC_1024_3(100k),AC,0.055,0.014,0.012,0.005,1024,523776,0.5,511.5,0.49968,0.50032,511.3975,260999.3084,255.3809,0.57758,0,2.0004,0.9998,0.4999
AC_1024_4(100k),AC,0.046,0.011,0.01,0,1024,523776,0.5,511.5,0.49955,0.50045,511.5354,261085.7929,255.4656,0.57742,0,1.9998,1.0001,0.50003
AC_1024_5(100k),AC,0.054,0.014,0.014,0.003,1024,523776,0.5,511.5,0.49976,0.50024,511.9588,261157.4314,255.5356,0.57757,0,1.9982,1.0009,0.50045
AC_16384_1(100k),AC,29.825,5.334,4.497,2.518,16384,134209536,0.5,8191.5,0.50003,0.49997,8190.5797,67089885.13,4095.3415,0.57738,0,2.0002,0.99989,0.49994
AC_16384_2(100k),AC,24.465,3.849,2.72,0.018,16384,134209536,0.5,8191.5,0.50003,0.49997,8190.7002,67096238.09,4095.7293,0.57743,0,2.0002,0.9999,0.49995
AC_16384_3(100k),AC,34.485,4.64,4.414,4.014,16384,134209536,0.5,8191.5,0.50003,0.49997,8190.3456,67095229.43,4095.6678,0.57743,0,2.0002,0.99986,0.49993
AC_16384_4(100k),AC,38.59,3.688,4.357,4.175,16384,134209536,0.5,8191.5,0.5,0.5,8191.4071,67095193.91,4095.6656,0.57736,0,2,0.99999,0.49999
AC_16384_5(100k),AC,21.109,3.899,2.916,0.099,16384,134209536,0.5,8191.5,0.50005,0.49995,8191.2977,67093027.15,4095.5333,0.57733,0,2,0.99998,0.49999
AC_2048_1(100k),AC,0.231,0.054,0.054,0.021,2048,2096128,0.5,1023.5,0.50032,0.49968,1023.1486,1046282.379,511.3795,0.57783,0,2.0006,0.99966,0.49983
AC_2048_2(100k),AC,0.201,0.054,0.04,0.001,2048,2096128,0.5,1023.5,0.49977,0.50023,1023.4031,1046821.188,511.6428,0.57746,0,2.0001,0.99991,0.49995
AC_2048_3(100k),AC,0.236,0.052,0.053,0.018,2048,2096128,0.5,1023.5,0.50011,0.49989,1023.1352,1046566.189,511.5182,0.57729,0,2.0007,0.99964,0.49982
