Instances,feature_Mean_StdDevDist,feature_Centroid_X,feature_Centroid_Y,feature_Radius,feature_FracDistinctDists_1Digit,feature_FracDistinctDists_2Digits,feature_FracDistinctDists_3Digits,feature_FracDistinctDists_4Digits,feature_RectangularArea,feature_VarNormalised_nNNds,feature_CoeffvarNormalised_nNNds,feature_NumClusters,feature_CitiesModClusters,feature_VarCitiesPerCluster,feature_NumOutliers,feature_RatioNodesNearEdgesPlane,feature_MeanRadiusEachCluster,algo_CLK_Mean_Effort,algo_LKCC_Mean_Effort,Sources
CLKeasy_001,98.95237972,188.14,183.06,162.582818,0.0016,0.0129,0.0814,0.2971,152488,0.000216791,30.68344743,1,0,0,0,0.82,162.582818,6312.19,705.586,Easy_CLK
CLKeasy_002,97.28136631,198.56,202.01,159.987612,0.0019,0.0133,0.0811,0.2889,158403,0.000264538,34.84525799,1,0,0,0,0.75,159.987612,7846.77,334.434,Easy_CLK
CLKeasy_003,90.97103988,189.78,181.54,148.1528958,0.0017,0.0131,0.0813,0.2831,155227,0.000411354,41.10414623,1,0,0,8,0.6,140.5531598,9669.43,1826.76,Easy_CLK
CLKeasy_004,97.55550851,198.7,213.66,159.5669379,0.0018,0.0135,0.0835,0.2906,154836,0.000245797,35.99649768,1,0,0,0,0.73,159.5669379,8872.01,451.737,Easy_CLK
CLKeasy_005,95.51862507,184.15,203.27,156.4400002,0.0015,0.0132,0.0833,0.2875,150100,0.000346386,40.19786187,1,0,0,1,0.75,155.5144851,8740.12,520.101,Easy_CLK
CLKeasy_006,96.76953134,206.99,206.05,157.3513455,0.0019,0.0131,0.0823,0.2898,152478,0.000257625,35.5797438,1,0,0,0,0.79,157.3513455,7231.83,331.859,Easy_CLK
CLKeasy_007,88.96440785,185.37,217.93,144.5085283,0.0018,0.0133,0.0829,0.2807,151690,0.000358138,41.24212394,1,0,0,0,0.63,144.5085283,10547.3,5303.46,Easy_CLK
CLKeasy_008,101.1763904,204.86,204.45,164.791677,0.0017,0.0132,0.0815,0.2934,155235,0.000243596,33.65004006,1,0,0,13,0.59,156.5233713,8941.02,757.949,Easy_CLK
CLKeasy_009,88.48239603,201.95,214.35,144.053957,0.0018,0.0132,0.0824,0.2836,150842,0.000460128,46.67286451,1,0,0,10,0.4,137.2717229,9265.72,1630.87,Easy_CLK
CLKeasy_010,95.6090358,202.02,188.66,157.1537593,0.0016,0.0127,0.0799,0.2899,154050,0.000277409,32.49852417,1,0,0,0,0.85,157.1537593,5557.47,276.788,Easy_CLK
CLKeasy_011,93.74987923,192.85,181.2,151.4544716,0.0018,0.0131,0.083,0.2899,155628,0.000316927,38.22209766,1,0,0,0,0.64,151.4544716,8727.24,818.737,Easy_CLK
CLKeasy_012,92.97533005,207.38,214.42,149.1153262,0.0016,0.0134,0.0848,0.2877,154448,0.000307852,40.4488668,1,0,0,6,0.59,145.2002564,8986.7,1711.89,Easy_CLK
CLKeasy_013,97.56208187,198.71,180.3,157.6358085,0.0016,0.0134,0.0824,0.2938,156021,0.000287851,37.01391376,1,0,0,0,0.69,157.6358085,7189.51,500.01,Easy_CLK
